## Wed Oct 13 12:46:17 2021
## emapper-2.1.6
## /data/shared/home/emapper/miniconda3/envs/eggnog-mapper-2.1/bin/emapper.py --cpu 20 --mp_start_method forkserver --data_dir /dev/shm/ -o out --output_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0 --temp_dir /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0 --override -m diamond --dmnd_ignore_warnings --dmnd_algo ctg -i /emapper_web_jobs/emapper_jobs/user_data/MM_0a_nlxc0/queries.fasta --evalue 0.001 --score 60 --pident 40 --query_cover 20 --subject_cover 20 --itype proteins --tax_scope auto --target_orthologs all --go_evidence non-electronic --pfam_realign none --report_orthologs --decorate_gff yes --excel
##
#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
lcl|LT708304.1_prot_SIT99884.1_1296	419947.MRA_1259	0.0	2254.0	COG1112@1|root,COG2251@1|root,COG1112@2|Bacteria,COG2251@2|Bacteria,2GMX8@201174|Actinobacteria,235G4@1762|Mycobacteriaceae	201174|Actinobacteria	L	nuclease	-	-	-	-	-	-	-	-	-	-	-	-	AAA_12,AAA_30,RNase_H_2
lcl|LT708304.1_prot_SIT99885.1_1297	419947.MRA_1260	5.85e-126	360.0	2AS1M@1|root,31HE2@2|Bacteria,2IFV5@201174|Actinobacteria,238MV@1762|Mycobacteriaceae	201174|Actinobacteria	S	LppP/LprE lipoprotein	lprE	GO:0005575,GO:0005576	-	-	-	-	-	-	-	-	-	-	Lipoprotein_21
lcl|LT708304.1_prot_SIT99886.1_1298	419947.MRA_1261	0.0	1065.0	COG0513@1|root,COG0513@2|Bacteria,2GIUR@201174|Actinobacteria,233HA@1762|Mycobacteriaceae	201174|Actinobacteria	JKL	DEAD-box RNA helicase involved in various cellular processes at low temperature, including ribosome biogenesis, mRNA degradation and translation initiation	deaD	GO:0003674,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0009987,GO:0010501,GO:0016070,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030312,GO:0034641,GO:0042623,GO:0043170,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0070035,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:1901360	3.6.4.13	ko:K05592,ko:K11927	ko03018,map03018	-	-	-	ko00000,ko00001,ko01000,ko03009,ko03019	-	-	-	DEAD,DbpA,Helicase_C
lcl|LT708304.1_prot_SIT99887.1_1299	419947.MRA_1262	1.55e-273	748.0	COG1835@1|root,COG1835@2|Bacteria,2GP6W@201174|Actinobacteria,236K0@1762|Mycobacteriaceae	201174|Actinobacteria	I	Acyltransferase	-	-	-	-	-	-	-	-	-	-	-	-	Acyl_transf_3
lcl|LT708304.1_prot_SIT99888.1_1300	419947.MRA_1263	5.3e-27	105.0	COG1309@1|root,COG1309@2|Bacteria,2GNAJ@201174|Actinobacteria,23681@1762|Mycobacteriaceae	201174|Actinobacteria	K	Transcriptional regulator	-	GO:0000976,GO:0001067,GO:0003674,GO:0003676,GO:0003677,GO:0003690,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0031323,GO:0031326,GO:0043565,GO:0044212,GO:0044424,GO:0044444,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0080090,GO:0097159,GO:0140110,GO:1901363,GO:1903506,GO:1990837,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	TetR_N
lcl|LT708304.1_prot_SIT99889.1_1301	419947.MRA_1266	8.17e-285	780.0	COG2271@1|root,COG2271@2|Bacteria,2HB3P@201174|Actinobacteria,2329X@1762|Mycobacteriaceae	201174|Actinobacteria	G	Major facilitator superfamily	-	GO:0003674,GO:0005215,GO:0006810,GO:0008150,GO:0015562,GO:0022857,GO:0042221,GO:0046677,GO:0050896,GO:0051179,GO:0051234,GO:0055085	-	-	-	-	-	-	-	-	-	-	MFS_1
lcl|LT708304.1_prot_SIT99890.1_1302	419947.MRA_1267	2.52e-207	574.0	COG1573@1|root,COG1573@2|Bacteria,2GK1I@201174|Actinobacteria,233MM@1762|Mycobacteriaceae	201174|Actinobacteria	L	Uracil-DNA glycosylase	udgB	GO:0003674,GO:0003824,GO:0004844,GO:0005488,GO:0006139,GO:0006259,GO:0006281,GO:0006284,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016787,GO:0016798,GO:0016799,GO:0019104,GO:0033554,GO:0033958,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0046483,GO:0048037,GO:0050896,GO:0051536,GO:0051540,GO:0051716,GO:0071704,GO:0090304,GO:0097506,GO:0140097,GO:1901360	3.2.2.27	ko:K21929	ko03410,map03410	-	-	-	ko00000,ko00001,ko01000,ko03400	-	-	-	UDG
lcl|LT708304.1_prot_SIT99891.1_1303	419947.MRA_1268	2e-185	520.0	COG0654@1|root,COG0654@2|Bacteria,2GJ9V@201174|Actinobacteria,235AE@1762|Mycobacteriaceae	201174|Actinobacteria	CH	oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_3
lcl|LT708304.1_prot_SIT99892.1_1304	419947.MRA_1268	7.44e-65	206.0	COG0654@1|root,COG0654@2|Bacteria,2GJ9V@201174|Actinobacteria,235AE@1762|Mycobacteriaceae	201174|Actinobacteria	CH	oxidoreductase	-	-	-	-	-	-	-	-	-	-	-	-	FAD_binding_3
lcl|LT708304.1_prot_SIT99893.1_1305	419947.MRA_1269	5.12e-110	315.0	COG3945@1|root,COG3945@2|Bacteria,2I3P5@201174|Actinobacteria,23F8S@1762|Mycobacteriaceae	201174|Actinobacteria	S	F420H(2)-dependent quinone reductase	-	GO:0003674,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0008152,GO:0016020,GO:0030312,GO:0031406,GO:0036094,GO:0043167,GO:0043168,GO:0043177,GO:0044464,GO:0048037,GO:0050662,GO:0055114,GO:0070967,GO:0071944,GO:0097159,GO:0097367,GO:1901363	-	-	-	-	-	-	-	-	-	-	F420H2_quin_red
lcl|LT708304.1_prot_SIT99894.1_1306	419947.MRA_1270	1.32e-96	281.0	COG0537@1|root,COG0537@2|Bacteria,2IHPT@201174|Actinobacteria,238N8@1762|Mycobacteriaceae	201174|Actinobacteria	FG	Hit family	-	-	-	-	-	-	-	-	-	-	-	-	HIT
lcl|LT708304.1_prot_SIT99895.1_1307	419947.MRA_1271	0.0	899.0	COG0154@1|root,COG0154@2|Bacteria,2GKPZ@201174|Actinobacteria,2369H@1762|Mycobacteriaceae	201174|Actinobacteria	J	Belongs to the amidase family	amiB2	-	3.5.1.4	ko:K01426	ko00330,ko00360,ko00380,ko00627,ko00643,ko01120,map00330,map00360,map00380,map00627,map00643,map01120	-	R02540,R03096,R03180,R03909,R05551,R05590	RC00010,RC00100,RC00950,RC01025	ko00000,ko00001,ko01000	-	-	iNJ661.Rv2363	Amidase
lcl|LT708304.1_prot_SIT99896.1_1308	419947.MRA_1272	2.14e-278	762.0	COG2114@1|root,COG2114@2|Bacteria,2GN02@201174|Actinobacteria,23294@1762|Mycobacteriaceae	201174|Actinobacteria	T	Adenylate cyclase	-	GO:0003674,GO:0003824,GO:0004016,GO:0005488,GO:0005515,GO:0005575,GO:0005623,GO:0005886,GO:0007154,GO:0007165,GO:0008150,GO:0009268,GO:0009628,GO:0009975,GO:0009987,GO:0010851,GO:0010854,GO:0010855,GO:0016020,GO:0016829,GO:0016849,GO:0023052,GO:0030145,GO:0030234,GO:0031279,GO:0042802,GO:0042803,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0046983,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0065009,GO:0071944,GO:0098772	4.6.1.1	ko:K01768	ko00230,ko02025,ko04113,ko04213,map00230,map02025,map04113,map04213	M00695	R00089,R00434	RC00295	ko00000,ko00001,ko00002,ko01000	-	-	iNJ661.Rv1264	Ad_Cy_reg,Guanylate_cyc
lcl|LT708304.1_prot_SIT99897.1_1309	419947.MRA_1273	9.82e-164	457.0	28M3Q@1|root,2ZAHT@2|Bacteria,2GM5B@201174|Actinobacteria,23476@1762|Mycobacteriaceae	201174|Actinobacteria	-	-	-	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0030312,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	-
lcl|LT708304.1_prot_SIT99898.1_1310	419947.MRA_1274	0.0	1125.0	COG0515@1|root,COG0515@2|Bacteria,2GNXG@201174|Actinobacteria,23296@1762|Mycobacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknH	GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0005887,GO:0006355,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016020,GO:0016021,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019216,GO:0019219,GO:0019222,GO:0019538,GO:0030312,GO:0031224,GO:0031226,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0036211,GO:0040008,GO:0043085,GO:0043086,GO:0043170,GO:0043207,GO:0043388,GO:0043412,GO:0044092,GO:0044093,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044403,GO:0044419,GO:0044425,GO:0044459,GO:0044464,GO:0045893,GO:0045926,GO:0045935,GO:0046777,GO:0046890,GO:0048518,GO:0048519,GO:0048522,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051098,GO:0051099,GO:0051101,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051701,GO:0051704,GO:0051707,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0060255,GO:0065007,GO:0065009,GO:0071704,GO:0071944,GO:0075136,GO:0080090,GO:0140096,GO:1901564,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	Pkinase,PknH_C
lcl|LT708304.1_prot_SIT99899.1_1311	216594.MMAR_4170	0.0	1262.0	COG0842@1|root,COG1131@1|root,COG1716@1|root,COG0842@2|Bacteria,COG1131@2|Bacteria,COG1716@2|Bacteria,2GKEU@201174|Actinobacteria,238B7@1762|Mycobacteriaceae	201174|Actinobacteria	TV	AAA domain, putative AbiEii toxin, Type IV TA system	-	-	-	ko:K01990,ko:K21397	-	M00254	-	-	ko00000,ko00002,ko02000	3.A.1	-	-	ABC2_membrane,ABC_tran,FHA
lcl|LT708304.1_prot_SIT99900.1_1312	216594.MMAR_4156	2.04e-303	842.0	COG0515@1|root,COG0515@2|Bacteria,2GNXG@201174|Actinobacteria,23296@1762|Mycobacteriaceae	201174|Actinobacteria	KLT	serine threonine protein kinase	pknH	-	2.7.11.1	ko:K08884,ko:K12132	-	-	-	-	ko00000,ko01000,ko01001	-	-	-	NHL,Pkinase,PknH_C
lcl|LT708304.1_prot_SIT99901.1_1313	419947.MRA_1275	1.35e-281	769.0	COG1716@1|root,COG3629@1|root,COG1716@2|Bacteria,COG3629@2|Bacteria,2GKKQ@201174|Actinobacteria,233XG@1762|Mycobacteriaceae	201174|Actinobacteria	K	involved in transcriptional mechanism. thought to regulate the biosynthesis of the mycobacterial cell wall arabinan and resistance to ethambutol (Emb	embR	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0003924,GO:0005488,GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0006355,GO:0008150,GO:0009889,GO:0010468,GO:0010556,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0019219,GO:0019222,GO:0030312,GO:0031323,GO:0031326,GO:0044464,GO:0050789,GO:0050794,GO:0051171,GO:0051252,GO:0060255,GO:0065007,GO:0071944,GO:0080090,GO:0097159,GO:1901363,GO:1903506,GO:2000112,GO:2001141	-	-	-	-	-	-	-	-	-	-	AAA_16,BTAD,FHA,Trans_reg_C
lcl|LT708304.1_prot_SIT99902.1_1314	419947.MRA_1276	2.48e-160	449.0	COG3271@1|root,COG3271@2|Bacteria,2IB5B@201174|Actinobacteria,234JN@1762|Mycobacteriaceae	201174|Actinobacteria	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Peptidase_C39_2
lcl|LT708304.1_prot_SIT99903.1_1315	419947.MRA_1277	1.46e-70	214.0	2DE1B@1|root,2ZK3D@2|Bacteria,2IN1I@201174|Actinobacteria,23A73@1762|Mycobacteriaceae	201174|Actinobacteria	S	Domain of unknown function (DUF4189)	-	GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	DUF4189
lcl|LT708304.1_prot_SIT99904.1_1316	419947.MRA_1278	1.12e-162	456.0	2DQVM@1|root,338Y0@2|Bacteria,2I9JA@201174|Actinobacteria,234Q6@1762|Mycobacteriaceae	201174|Actinobacteria	M	LppX_LprAFG lipoprotein	lprA	GO:0003674,GO:0005102,GO:0005488,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0009605,GO:0009607,GO:0009966,GO:0010469,GO:0010646,GO:0016020,GO:0020012,GO:0023051,GO:0030312,GO:0030545,GO:0030682,GO:0042783,GO:0042785,GO:0043207,GO:0044403,GO:0044413,GO:0044415,GO:0044419,GO:0044464,GO:0048018,GO:0048583,GO:0050789,GO:0050794,GO:0050896,GO:0051701,GO:0051704,GO:0051707,GO:0051805,GO:0051807,GO:0051810,GO:0051812,GO:0051832,GO:0051834,GO:0052173,GO:0052200,GO:0052564,GO:0052572,GO:0065007,GO:0065009,GO:0071944,GO:0075136,GO:0098772	-	ko:K14954,ko:K14955	ko05152,map05152	-	-	-	ko00000,ko00001	-	-	-	LppX_LprAFG
lcl|LT708304.1_prot_SIT99905.1_1317	419947.MRA_1279	1.79e-68	207.0	2BN0A@1|root,31MN4@2|Bacteria,2INE2@201174|Actinobacteria,23ACY@1762|Mycobacteriaceae	201174|Actinobacteria	S	Protein of unknown function (DUF732)	-	-	-	-	-	-	-	-	-	-	-	-	DUF732
lcl|LT708304.1_prot_SIT99906.1_1318	419947.MRA_1280	0.0	1177.0	COG1132@1|root,COG1132@2|Bacteria,2GITR@201174|Actinobacteria,235Z4@1762|Mycobacteriaceae	201174|Actinobacteria	V	ABC transporter	yfiC	-	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
lcl|LT708304.1_prot_SIT99907.1_1319	419947.MRA_1281	0.0	1090.0	COG1132@1|root,COG1132@2|Bacteria,2GITR@201174|Actinobacteria,2349E@1762|Mycobacteriaceae	201174|Actinobacteria	V	ABC transporter	-	GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	-	ko:K06147	-	-	-	-	ko00000,ko02000	3.A.1.106,3.A.1.109,3.A.1.21	-	-	ABC_membrane,ABC_tran
lcl|LT708304.1_prot_SIT99908.1_1320	419947.MRA_1282	8.99e-133	376.0	COG1188@1|root,COG1188@2|Bacteria,2H7A9@201174|Actinobacteria,232TW@1762|Mycobacteriaceae	201174|Actinobacteria	J	Protein of unknown function (DUF3558)	lprB	GO:0008150,GO:0040007	-	-	-	-	-	-	-	-	-	-	DUF3558
lcl|LT708304.1_prot_SIT99909.1_1321	419947.MRA_1283	3.68e-125	356.0	COG1188@1|root,COG1188@2|Bacteria,2IA90@201174|Actinobacteria,233JT@1762|Mycobacteriaceae	201174|Actinobacteria	J	Protein of unknown function (DUF3558)	lprC	-	-	-	-	-	-	-	-	-	-	-	DUF3558
lcl|LT708304.1_prot_SIT99910.1_1322	419947.MRA_1284	1.68e-108	312.0	COG2062@1|root,COG2062@2|Bacteria,2GJ0I@201174|Actinobacteria,239P1@1762|Mycobacteriaceae	201174|Actinobacteria	T	Phosphohistidine phosphatase SixA	sixA	-	-	ko:K08296	-	-	-	-	ko00000,ko01000	-	-	-	His_Phos_1
lcl|LT708304.1_prot_SIT99911.1_1323	419947.MRA_1285	1.78e-303	827.0	COG0420@1|root,COG0420@2|Bacteria,2HH9X@201174|Actinobacteria,233AC@1762|Mycobacteriaceae	201174|Actinobacteria	L	DNA repair exonuclease	sbcD	-	-	-	-	-	-	-	-	-	-	-	Metallophos
lcl|LT708304.1_prot_SIT99912.1_1324	419947.MRA_1286	0.0	1553.0	COG0419@1|root,COG0419@2|Bacteria,2HU66@201174|Actinobacteria,234HZ@1762|Mycobacteriaceae	201174|Actinobacteria	L	AAA domain	-	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0008150,GO:0016020,GO:0030312,GO:0040007,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	AAA_15,AAA_23,AAA_27
lcl|LT708304.1_prot_SIT99913.1_1325	419947.MRA_1287	0.0	1051.0	COG2303@1|root,COG2303@2|Bacteria,2GJAU@201174|Actinobacteria,233HY@1762|Mycobacteriaceae	201174|Actinobacteria	E	Belongs to the GMC oxidoreductase family	-	GO:0005575,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0016020,GO:0030312,GO:0044424,GO:0044444,GO:0044464,GO:0071944	1.1.99.1	ko:K00108	ko00260,ko01100,map00260,map01100	M00555	R01025	RC00087	ko00000,ko00001,ko00002,ko01000	-	-	-	GMC_oxred_C,GMC_oxred_N
lcl|LT708304.1_prot_SIT99914.1_1326	419947.MRA_1288	0.0	1171.0	COG0747@1|root,COG0747@2|Bacteria,2GJ9N@201174|Actinobacteria,233EQ@1762|Mycobacteriaceae	201174|Actinobacteria	E	extracellular solute-binding	oppA	GO:0003674,GO:0005215,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006810,GO:0008104,GO:0008150,GO:0015031,GO:0015833,GO:0016020,GO:0016021,GO:0017038,GO:0022857,GO:0030288,GO:0030313,GO:0031224,GO:0031226,GO:0031975,GO:0033036,GO:0033218,GO:0042277,GO:0042597,GO:0042886,GO:0042887,GO:0043167,GO:0043168,GO:0043295,GO:0044425,GO:0044459,GO:0044464,GO:0045184,GO:0048037,GO:0051179,GO:0051234,GO:0055085,GO:0071702,GO:0071705,GO:0071944,GO:0072341,GO:1900750,GO:1901681,GO:1904680	-	ko:K02035	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	SBP_bac_5
lcl|LT708304.1_prot_SIT99915.1_1327	419947.MRA_1289	0.0	1163.0	COG1123@1|root,COG4172@2|Bacteria,2H3HY@201174|Actinobacteria,23340@1762|Mycobacteriaceae	201174|Actinobacteria	P	Belongs to the ABC transporter superfamily	oppD	GO:0005575,GO:0005618,GO:0005623,GO:0005886,GO:0016020,GO:0030312,GO:0044464,GO:0071944	-	ko:K02031,ko:K02032	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	ABC_tran,oligo_HPY
lcl|LT708304.1_prot_SIT99916.1_1328	419947.MRA_1290	7.72e-198	549.0	COG1173@1|root,COG1173@2|Bacteria,2GJ9E@201174|Actinobacteria,235CB@1762|Mycobacteriaceae	201174|Actinobacteria	EP	transport	oppC	GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0044464,GO:0071944	-	ko:K02034	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1,OppC_N
lcl|LT708304.1_prot_SIT99917.1_1329	419947.MRA_1291	6.81e-225	620.0	COG0601@1|root,COG0601@2|Bacteria,2GJ2C@201174|Actinobacteria,232X5@1762|Mycobacteriaceae	201174|Actinobacteria	EP	transport	oppB	GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0008150,GO:0016020,GO:0022857,GO:0044464,GO:0051179,GO:0051234,GO:0055085,GO:0071944	-	ko:K02033	ko02024,map02024	M00239	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.5	-	-	BPD_transp_1
lcl|LT708304.1_prot_SIT99918.1_1330	419947.MRA_1292	1.43e-116	333.0	COG0288@1|root,COG0288@2|Bacteria,2GM1M@201174|Actinobacteria,2358R@1762|Mycobacteriaceae	201174|Actinobacteria	P	reversible hydration of carbon dioxide	mtcA1	GO:0003674,GO:0003824,GO:0004089,GO:0005488,GO:0005575,GO:0005623,GO:0005886,GO:0008150,GO:0008270,GO:0016020,GO:0016829,GO:0016835,GO:0016836,GO:0040007,GO:0043167,GO:0043169,GO:0044464,GO:0046872,GO:0046914,GO:0071944	4.2.1.1	ko:K01673	ko00910,map00910	-	R00132,R10092	RC02807	ko00000,ko00001,ko01000	-	-	-	Pro_CA
lcl|LT708304.1_prot_SIT99919.1_1331	419947.MRA_1293	1.65e-240	660.0	COG0175@1|root,COG0175@2|Bacteria,2GN85@201174|Actinobacteria,232AT@1762|Mycobacteriaceae	201174|Actinobacteria	H	Sulfate adenylyltransferase subunit 2	cysD	GO:0000103,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006790,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009336,GO:0009605,GO:0009987,GO:0009991,GO:0010134,GO:0010438,GO:0019419,GO:0031667,GO:0031668,GO:0031669,GO:0032991,GO:0033554,GO:0034599,GO:0040007,GO:0042221,GO:0042594,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0061695,GO:0070887,GO:0071496,GO:1902494,GO:1902503,GO:1990234	2.7.7.4	ko:K00957	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00529,R04929	RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	-	PAPS_reduct
lcl|LT708304.1_prot_SIT99920.1_1332	419947.MRA_1294	0.0	1217.0	COG0529@1|root,COG2895@1|root,COG0529@2|Bacteria,COG2895@2|Bacteria,2GJDX@201174|Actinobacteria,232JD@1762|Mycobacteriaceae	201174|Actinobacteria	P	Belongs to the TRAFAC class translation factor GTPase superfamily. Classic translation factor GTPase family. CysN NodQ subfamily	cysN	GO:0000103,GO:0003674,GO:0003824,GO:0004020,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006790,GO:0006793,GO:0006796,GO:0006950,GO:0006979,GO:0007154,GO:0008150,GO:0008152,GO:0009267,GO:0009336,GO:0009605,GO:0009987,GO:0009991,GO:0010134,GO:0010438,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019419,GO:0031667,GO:0031668,GO:0031669,GO:0032991,GO:0033554,GO:0034599,GO:0040007,GO:0042221,GO:0042594,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0051716,GO:0055114,GO:0061695,GO:0070887,GO:0071496,GO:0071944,GO:1902494,GO:1902503,GO:1990234	2.7.1.25,2.7.7.4	ko:K00955,ko:K00956	ko00230,ko00261,ko00450,ko00920,ko01100,ko01120,ko01130,map00230,map00261,map00450,map00920,map01100,map01120,map01130	M00176,M00596	R00509,R00529,R04928,R04929	RC00002,RC00078,RC02809,RC02889	ko00000,ko00001,ko00002,ko01000	-	-	-	APS_kinase,GTP_EFTU
lcl|LT708304.1_prot_SIT99921.1_1333	419947.MRA_1295	2.11e-108	312.0	COG1959@1|root,COG1959@2|Bacteria,2INF3@201174|Actinobacteria,238N2@1762|Mycobacteriaceae	201174|Actinobacteria	K	Transcriptional regulator	-	-	-	ko:K13643	-	-	-	-	ko00000,ko03000	-	-	-	Rrf2
lcl|LT708304.1_prot_SIT99922.1_1334	419947.MRA_1296	2e-295	808.0	COG0627@1|root,COG1388@1|root,COG0627@2|Bacteria,COG1388@2|Bacteria,2H9D2@201174|Actinobacteria,236YA@1762|Mycobacteriaceae	201174|Actinobacteria	M	Lysin motif	xynZ	-	-	-	-	-	-	-	-	-	-	-	Esterase,LysM
lcl|LT708304.1_prot_SIT99923.1_1335	419947.MRA_1297	4.37e-159	444.0	2EP2R@1|root,33GPJ@2|Bacteria,2IDXG@201174|Actinobacteria,23543@1762|Mycobacteriaceae	201174|Actinobacteria	-	-	-	GO:0005575,GO:0005618,GO:0005623,GO:0030312,GO:0044464,GO:0071944	-	-	-	-	-	-	-	-	-	-	-
lcl|LT708304.1_prot_SIT99924.1_1336	419947.MRA_1298	0.0	997.0	COG4325@1|root,COG4325@2|Bacteria,2GWFP@201174|Actinobacteria,2387T@1762|Mycobacteriaceae	201174|Actinobacteria	S	Predicted membrane protein (DUF2254)	-	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0008150,GO:0009405,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0051704	-	-	-	-	-	-	-	-	-	-	DUF2254
lcl|LT708304.1_prot_SIT99926.1_1338	419947.MRA_1299	7.09e-65	198.0	2BN0A@1|root,31M8R@2|Bacteria,2IMUU@201174|Actinobacteria,23A7H@1762|Mycobacteriaceae	201174|Actinobacteria	S	Protein of unknown function (DUF732)	-	-	-	-	-	-	-	-	-	-	-	-	DUF732
lcl|LT708304.1_prot_SIT99927.1_1339	419947.MRA_1300	0.0	1086.0	COG0018@1|root,COG0018@2|Bacteria,2GKQ3@201174|Actinobacteria,2341V@1762|Mycobacteriaceae	201174|Actinobacteria	J	Arginyl-tRNA synthetase	argS	GO:0003674,GO:0003824,GO:0004812,GO:0004814,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006420,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016020,GO:0016070,GO:0016874,GO:0016875,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0040007,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0071944,GO:0090304,GO:0140098,GO:0140101,GO:1901360,GO:1901564,GO:1901566,GO:1901576	6.1.1.19	ko:K01887	ko00970,map00970	M00359,M00360	R03646	RC00055,RC00523	ko00000,ko00001,ko00002,ko01000,ko01007,ko03016,ko03029	-	-	-	Arg_tRNA_synt_N,DALR_1,tRNA-synt_1d
